2018-12-04 23:36:41.532493  

 Train one epoch   1 / 100
2018-12-05 00:11:52.612947  [Epoch 2] avg class acc: 0.334801
2018-12-05 00:11:52.615058  [Epoch 2] indivisual [0] class recall: 0.471988
2018-12-05 00:11:52.617356  [Epoch 2] indivisual [0] class precision: 0.440130
2018-12-05 00:11:52.619123  [Epoch 2] indivisual [1] class recall: 0.508747
2018-12-05 00:11:52.620882  [Epoch 2] indivisual [1] class precision: 0.448120
2018-12-05 00:11:52.622596  [Epoch 2] indivisual [2] class recall: 0.023667
2018-12-05 00:11:52.624358  [Epoch 2] indivisual [2] class precision: 0.139581
2018-12-05 00:11:52.626040   Evaluation one (validation set) epoch   3 / 100
2018-12-05 00:12:39.497999  [Epoch 2] Validation mean loss: 7.295812
2018-12-05 00:12:39.499970  [Epoch 2] Validation heading rmse[deg]: 108.891292
2018-12-05 00:12:39.501669  [Epoch 2] Validation class accuracy: 0.489599
2018-12-05 00:12:39.503428  [Epoch 2] Validation avg class acc: 0.091096
2018-12-05 00:12:39.505243  [Epoch 2] Validation indivisual [0] class recall: 0.033531
2018-12-05 00:12:39.507871  [Epoch 2] Validation indivisual [0] class precision: 0.665130
2018-12-05 00:12:39.509638  [Epoch 2] Validation indivisual [1] class recall: 0.239758
2018-12-05 00:12:39.511593  [Epoch 2] Validation indivisual [1] class precision: 0.472528
2018-12-05 00:12:39.513433  [Epoch 2] Validation indivisual [2] class recall: 0.000000
2018-12-05 00:12:39.515413  

 Train one epoch   4 / 100
2018-12-05 00:23:51.056681  [Epoch 3] mean loss: 23.699977
2018-12-05 00:23:51.058674  [Epoch 3] heading rmse[deg]: 275.706110
2018-12-05 00:23:51.060558  [Epoch 3] class accuracy: 0.441481
2018-12-05 00:23:51.062485  [Epoch 3] avg class acc: 0.335421
2018-12-05 00:23:51.064248  [Epoch 3] indivisual [0] class recall: 0.485980
2018-12-05 00:23:51.066013  [Epoch 3] indivisual [0] class precision: 0.441348
2018-12-05 00:23:51.068091  [Epoch 3] indivisual [1] class recall: 0.503284
2018-12-05 00:23:51.070185  [Epoch 3] indivisual [1] class precision: 0.449946
2018-12-05 00:23:51.071984  [Epoch 3] indivisual [2] class recall: 0.017000
2018-12-05 00:23:51.073703  [Epoch 3] indivisual [2] class precision: 0.137590
2018-12-05 00:23:51.075377   Evaluation one (validation set) epoch   4 / 100
2018-12-05 00:24:37.804697  [Epoch 3] Validation mean loss: 8.502085
2018-12-05 00:24:37.806261  [Epoch 3] Validation heading rmse[deg]: 109.620081
2018-12-05 00:24:37.807722  [Epoch 3] Validation class accuracy: 0.481835
2018-12-05 00:24:37.809144  [Epoch 3] Validation avg class acc: 0.089749
2018-12-05 00:24:37.810450  [Epoch 3] Validation indivisual [0] class recall: 0.046227
2018-12-05 00:24:37.811791  [Epoch 3] Validation indivisual [0] class precision: 0.554486
2018-12-05 00:24:37.813205  [Epoch 3] Validation indivisual [1] class recall: 0.223020
2018-12-05 00:24:37.814992  [Epoch 3] Validation indivisual [1] class precision: 0.469357
2018-12-05 00:24:37.816759  [Epoch 3] Validation indivisual [2] class recall: 0.000000
2018-12-05 00:24:37.818469  

 Train one epoch   5 / 100
2018-12-05 00:35:49.284416  [Epoch 4] mean loss: 20.757487
2018-12-05 00:35:49.286382  [Epoch 4] heading rmse[deg]: 258.984551
2018-12-05 00:35:49.288200  [Epoch 4] class accuracy: 0.444762
2018-12-05 00:35:49.290076  [Epoch 4] avg class acc: 0.337029
2018-12-05 00:35:49.291732  [Epoch 4] indivisual [0] class recall: 0.478378
2018-12-05 00:35:49.293327  [Epoch 4] indivisual [0] class precision: 0.442661
2018-12-05 00:35:49.294935  [Epoch 4] indivisual [1] class recall: 0.518819
2018-12-05 00:35:49.296623  [Epoch 4] indivisual [1] class precision: 0.453137
2018-12-05 00:35:49.298264  [Epoch 4] indivisual [2] class recall: 0.013889
2018-12-05 00:35:49.299898  [Epoch 4] indivisual [2] class precision: 0.141884
2018-12-05 00:35:49.301507   Evaluation one (validation set) epoch   5 / 100
2018-12-05 00:36:36.020923  [Epoch 4] Validation mean loss: 5.852305
2018-12-05 00:36:36.022722  [Epoch 4] Validation heading rmse[deg]: 116.461455
2018-12-05 00:36:36.024486  [Epoch 4] Validation class accuracy: 0.449071
2018-12-05 00:36:36.026276  [Epoch 4] Validation avg class acc: 0.083405
2018-12-05 00:36:36.028138  [Epoch 4] Validation indivisual [0] class recall: 0.007838
2018-12-05 00:36:36.030051  [Epoch 4] Validation indivisual [0] class precision: 0.452439
2018-12-05 00:36:36.031832  [Epoch 4] Validation indivisual [1] class recall: 0.242378
2018-12-05 00:36:36.033604  [Epoch 4] Validation indivisual [1] class precision: 0.448966
2018-12-05 00:36:36.035286  [Epoch 4] Validation indivisual [2] class recall: 0.000000
2018-12-05 00:36:36.037043  

 Train one epoch   6 / 100
2018-12-05 00:47:47.404428  [Epoch 5] mean loss: 18.251132
2018-12-05 00:47:47.406471  [Epoch 5] heading rmse[deg]: 242.121165
2018-12-05 00:47:47.408494  [Epoch 5] class accuracy: 0.443796
2018-12-05 00:47:47.410372  [Epoch 5] avg class acc: 0.334697
2018-12-05 00:47:47.412208  [Epoch 5] indivisual [0] class recall: 0.478491
2018-12-05 00:47:47.413905  [Epoch 5] indivisual [0] class precision: 0.441111
2018-12-05 00:47:47.415632  [Epoch 5] indivisual [1] class recall: 0.518157
2018-12-05 00:47:47.417281  [Epoch 5] indivisual [1] class precision: 0.451981
2018-12-05 00:47:47.418851  [Epoch 5] indivisual [2] class recall: 0.007444
2018-12-05 00:47:47.420588  [Epoch 5] indivisual [2] class precision: 0.097953
2018-12-05 00:47:47.422217   Evaluation one (validation set) epoch   6 / 100
2018-12-05 00:48:34.156604  [Epoch 5] Validation mean loss: 4.840573
2018-12-05 00:48:34.158350  [Epoch 5] Validation heading rmse[deg]: 115.221715
2018-12-05 00:48:34.160209  [Epoch 5] Validation class accuracy: 0.443574
2018-12-05 00:48:34.162020  [Epoch 5] Validation avg class acc: 0.082335
2018-12-05 00:48:34.163975  [Epoch 5] Validation indivisual [0] class recall: 0.002409
2018-12-05 00:48:34.166008  [Epoch 5] Validation indivisual [0] class precision: 0.251656
2018-12-05 00:48:34.167858  [Epoch 5] Validation indivisual [1] class recall: 0.244597
2018-12-05 00:48:34.169702  [Epoch 5] Validation indivisual [1] class precision: 0.446858
2018-12-05 00:48:34.171472  [Epoch 5] Validation indivisual [2] class recall: 0.000000
2018-12-05 00:48:34.173289  

 Train one epoch   7 / 100
2018-12-05 00:59:45.184101  [Epoch 6] mean loss: 15.966911
2018-12-05 00:59:45.186134  [Epoch 6] heading rmse[deg]: 226.555560
2018-12-05 00:59:45.188091  [Epoch 6] class accuracy: 0.442831
2018-12-05 00:59:45.189984  [Epoch 6] avg class acc: 0.334731
2018-12-05 00:59:45.191959  [Epoch 6] indivisual [0] class recall: 0.469932
2018-12-05 00:59:45.193572  [Epoch 6] indivisual [0] class precision: 0.439529
2018-12-05 00:59:45.195282  [Epoch 6] indivisual [1] class recall: 0.523593
2018-12-05 00:59:45.196945  [Epoch 6] indivisual [1] class precision: 0.450745
2018-12-05 00:59:45.198691  [Epoch 6] indivisual [2] class recall: 0.010667
2018-12-05 00:59:45.200826  [Epoch 6] indivisual [2] class precision: 0.139942
2018-12-05 00:59:45.202605   Evaluation one (validation set) epoch   7 / 100
2018-12-05 01:00:31.749644  [Epoch 6] Validation mean loss: 4.555067
2018-12-05 01:00:31.751484  [Epoch 6] Validation heading rmse[deg]: 112.293873
2018-12-05 01:00:31.753266  [Epoch 6] Validation class accuracy: 0.447994
2018-12-05 01:00:31.755044  [Epoch 6] Validation avg class acc: 0.083328
2018-12-05 01:00:31.756642  [Epoch 6] Validation indivisual [0] class recall: 0.027149
2018-12-05 01:00:31.758575  [Epoch 6] Validation indivisual [0] class precision: 0.308523
2018-12-05 01:00:31.760582  [Epoch 6] Validation indivisual [1] class recall: 0.222836
2018-12-05 01:00:31.762308  [Epoch 6] Validation indivisual [1] class precision: 0.473522
2018-12-05 01:00:31.764077  [Epoch 6] Validation indivisual [2] class recall: 0.000000
2018-12-05 01:00:31.765790  

 Train one epoch   8 / 100
2018-12-05 01:11:42.295496  [Epoch 7] mean loss: 13.739134
2018-12-05 01:11:42.297457  [Epoch 7] heading rmse[deg]: 210.385370
2018-12-05 01:11:42.299249  [Epoch 7] class accuracy: 0.440527
2018-12-05 01:11:42.301110  [Epoch 7] avg class acc: 0.333504
2018-12-05 01:11:42.302735  [Epoch 7] indivisual [0] class recall: 0.463148
2018-12-05 01:11:42.304345  [Epoch 7] indivisual [0] class precision: 0.436992
2018-12-05 01:11:42.306011  [Epoch 7] indivisual [1] class recall: 0.524586
2018-12-05 01:11:42.308011  [Epoch 7] indivisual [1] class precision: 0.449114
2018-12-05 01:11:42.310089  [Epoch 7] indivisual [2] class recall: 0.012778
2018-12-05 01:11:42.311896  [Epoch 7] indivisual [2] class precision: 0.146684
2018-12-05 01:11:42.313635   Evaluation one (validation set) epoch   8 / 100
2018-12-05 01:12:29.051116  [Epoch 7] Validation mean loss: 3.710600
2018-12-05 01:12:29.053000  [Epoch 7] Validation heading rmse[deg]: 107.548165
2018-12-05 01:12:29.054818  [Epoch 7] Validation class accuracy: 0.438596
2018-12-05 01:12:29.056651  [Epoch 7] Validation avg class acc: 0.083052
2018-12-05 01:12:29.058375  [Epoch 7] Validation indivisual [0] class recall: 0.235671
2018-12-05 01:12:29.060240  [Epoch 7] Validation indivisual [0] class precision: 0.436886
2018-12-05 01:12:29.061999  [Epoch 7] Validation indivisual [1] class recall: 0.013485
2018-12-05 01:12:29.063720  [Epoch 7] Validation indivisual [1] class precision: 0.470079
2018-12-05 01:12:29.065245  [Epoch 7] Validation indivisual [2] class recall: 0.000000
2018-12-05 01:12:29.067048  

 Train one epoch   9 / 100
2018-12-05 01:23:40.254350  [Epoch 8] mean loss: 12.181878
2018-12-05 01:23:40.256242  [Epoch 8] heading rmse[deg]: 197.603060
2018-12-05 01:23:40.258008  [Epoch 8] class accuracy: 0.444737
2018-12-05 01:23:40.259842  [Epoch 8] avg class acc: 0.337271
2018-12-05 01:23:40.261526  [Epoch 8] indivisual [0] class recall: 0.471537
2018-12-05 01:23:40.263060  [Epoch 8] indivisual [0] class precision: 0.442568
2018-12-05 01:23:40.264601  [Epoch 8] indivisual [1] class recall: 0.525166
2018-12-05 01:23:40.266095  [Epoch 8] indivisual [1] class precision: 0.451241
2018-12-05 01:23:40.267995  [Epoch 8] indivisual [2] class recall: 0.015111
2018-12-05 01:23:40.270032  [Epoch 8] indivisual [2] class precision: 0.184282
2018-12-05 01:23:40.271774   Evaluation one (validation set) epoch   9 / 100
2018-12-05 01:24:26.906335  [Epoch 8] Validation mean loss: 3.609132
2018-12-05 01:24:26.908273  [Epoch 8] Validation heading rmse[deg]: 106.487773
2018-12-05 01:24:26.910085  [Epoch 8] Validation class accuracy: 0.435773
2018-12-05 01:24:26.912136  [Epoch 8] Validation avg class acc: 0.082615
2018-12-05 01:24:26.914020  [Epoch 8] Validation indivisual [0] class recall: 0.247845
2018-12-05 01:24:26.915784  [Epoch 8] Validation indivisual [0] class precision: 0.437088
2018-12-05 01:24:26.917517  [Epoch 8] Validation indivisual [1] class recall: 0.000000
2018-12-05 01:24:26.919209  [Epoch 8] Validation indivisual [1] class precision: 0.000000
2018-12-05 01:24:26.920941  [Epoch 8] Validation indivisual [2] class recall: 0.000000
2018-12-05 01:24:26.922581  

 Train one epoch  10 / 100
2018-12-05 01:35:37.867097  [Epoch 9] mean loss: 10.899294
2018-12-05 01:35:37.868964  [Epoch 9] heading rmse[deg]: 186.996135
2018-12-05 01:35:37.870559  [Epoch 9] class accuracy: 0.448341
2018-12-05 01:35:37.872297  [Epoch 9] avg class acc: 0.340067
2018-12-05 01:35:37.873882  [Epoch 9] indivisual [0] class recall: 0.464358
2018-12-05 01:35:37.875882  [Epoch 9] indivisual [0] class precision: 0.444175
2018-12-05 01:35:37.877906  [Epoch 9] indivisual [1] class recall: 0.540066
2018-12-05 01:35:37.879648  [Epoch 9] indivisual [1] class precision: 0.456905
2018-12-05 01:35:37.881403  [Epoch 9] indivisual [2] class recall: 0.015778
2018-12-05 01:35:37.883039  [Epoch 9] indivisual [2] class precision: 0.179747
2018-12-05 01:35:37.884721   Evaluation one (validation set) epoch  10 / 100
2018-12-05 01:36:24.660397  [Epoch 9] Validation mean loss: 3.821156
2018-12-05 01:36:24.662236  [Epoch 9] Validation heading rmse[deg]: 110.133366
2018-12-05 01:36:24.664238  [Epoch 9] Validation class accuracy: 0.429532
2018-12-05 01:36:24.666334  [Epoch 9] Validation avg class acc: 0.081429
2018-12-05 01:36:24.668167  [Epoch 9] Validation indivisual [0] class recall: 0.244079
2018-12-05 01:36:24.669974  [Epoch 9] Validation indivisual [0] class precision: 0.435125
2018-12-05 01:36:24.671710  [Epoch 9] Validation indivisual [1] class recall: 0.000207
2018-12-05 01:36:24.673489  [Epoch 9] Validation indivisual [1] class precision: 0.027100
2018-12-05 01:36:24.675274  [Epoch 9] Validation indivisual [2] class recall: 0.000000
2018-12-05 01:36:25.615352  Model saved in file: /home/gozilla/kyungpyo/git/MasterThesisProject/Network/notebook/train_log_20181204/model_2_out5_1/model.ckpt
2018-12-05 01:36:25.617246  

 Train one epoch  11 / 100
2018-12-05 01:47:36.078567  [Epoch 10] mean loss: 10.119339
2018-12-05 01:47:36.080542  [Epoch 10] heading rmse[deg]: 180.194557
2018-12-05 01:47:36.082278  [Epoch 10] class accuracy: 0.449084
2018-12-05 01:47:36.084160  [Epoch 10] avg class acc: 0.339824
2018-12-05 01:47:36.085985  [Epoch 10] indivisual [0] class recall: 0.461937
2018-12-05 01:47:36.087825  [Epoch 10] indivisual [0] class precision: 0.444481
2018-12-05 01:47:36.089849  [Epoch 10] indivisual [1] class recall: 0.544868
2018-12-05 01:47:36.091923  [Epoch 10] indivisual [1] class precision: 0.457963
2018-12-05 01:47:36.093649  [Epoch 10] indivisual [2] class recall: 0.012667
2018-12-05 01:47:36.095358  [Epoch 10] indivisual [2] class precision: 0.156593
2018-12-05 01:47:36.097082   Evaluation one (validation set) epoch  11 / 100
2018-12-05 01:48:22.887159  [Epoch 10] Validation mean loss: 3.527590
2018-12-05 01:48:22.888908  [Epoch 10] Validation heading rmse[deg]: 105.862021
2018-12-05 01:48:22.890593  [Epoch 10] Validation class accuracy: 0.437593
2018-12-05 01:48:22.892443  [Epoch 10] Validation avg class acc: 0.082958
2018-12-05 01:48:22.894302  [Epoch 10] Validation indivisual [0] class recall: 0.248875
2018-12-05 01:48:22.896271  [Epoch 10] Validation indivisual [0] class precision: 0.439110
2018-12-05 01:48:22.898098  [Epoch 10] Validation indivisual [1] class recall: 0.000000
2018-12-05 01:48:22.899899  [Epoch 10] Validation indivisual [1] class precision: 0.000000
2018-12-05 01:48:22.901698  [Epoch 10] Validation indivisual [2] class recall: 0.000000
2018-12-05 01:48:22.903466  

 Train one epoch  12 / 100
2018-12-05 01:59:34.197005  [Epoch 11] mean loss: 9.086503
2018-12-05 01:59:34.199071  [Epoch 11] heading rmse[deg]: 171.342793
2018-12-05 01:59:34.200884  [Epoch 11] class accuracy: 0.442311
2018-12-05 01:59:34.202861  [Epoch 11] avg class acc: 0.333182
2018-12-05 01:59:34.204803  [Epoch 11] indivisual [0] class recall: 0.454195
2018-12-05 01:59:34.206595  [Epoch 11] indivisual [0] class precision: 0.439089
2018-12-05 01:59:34.208357  [Epoch 11] indivisual [1] class recall: 0.538907
2018-12-05 01:59:34.209979  [Epoch 11] indivisual [1] class precision: 0.450477
2018-12-05 01:59:34.211714  [Epoch 11] indivisual [2] class recall: 0.006444
2018-12-05 01:59:34.213349  [Epoch 11] indivisual [2] class precision: 0.087349
2018-12-05 01:59:34.214892   Evaluation one (validation set) epoch  12 / 100
2018-12-05 02:00:20.832990  [Epoch 11] Validation mean loss: 3.532033
2018-12-05 02:00:20.834833  [Epoch 11] Validation heading rmse[deg]: 106.167128
2018-12-05 02:00:20.836707  [Epoch 11] Validation class accuracy: 0.437853
2018-12-05 02:00:20.838611  [Epoch 11] Validation avg class acc: 0.083002
2018-12-05 02:00:20.840492  [Epoch 11] Validation indivisual [0] class recall: 0.247993
2018-12-05 02:00:20.842177  [Epoch 11] Validation indivisual [0] class precision: 0.438591
2018-12-05 02:00:20.843995  [Epoch 11] Validation indivisual [1] class recall: 0.001013
2018-12-05 02:00:20.845721  [Epoch 11] Validation indivisual [1] class precision: 0.312102
2018-12-05 02:00:20.847357  [Epoch 11] Validation indivisual [2] class recall: 0.000000
2018-12-05 02:00:20.848956  

 Train one epoch  13 / 100
2018-12-05 02:11:31.302199  [Epoch 12] mean loss: 8.587994
2018-12-05 02:11:31.304221  [Epoch 12] heading rmse[deg]: 166.423302
2018-12-05 02:11:31.306289  [Epoch 12] class accuracy: 0.444465
2018-12-05 02:11:31.308573  [Epoch 12] avg class acc: 0.333778
2018-12-05 02:11:31.310377  [Epoch 12] indivisual [0] class recall: 0.453857
2018-12-05 02:11:31.312176  [Epoch 12] indivisual [0] class precision: 0.444105
2018-12-05 02:11:31.313910  [Epoch 12] indivisual [1] class recall: 0.545033
2018-12-05 02:11:31.315636  [Epoch 12] indivisual [1] class precision: 0.449962
2018-12-05 02:11:31.317423  [Epoch 12] indivisual [2] class recall: 0.002444
2018-12-05 02:11:31.319121  [Epoch 12] indivisual [2] class precision: 0.039076
2018-12-05 02:11:31.320785   Evaluation one (validation set) epoch  13 / 100
2018-12-05 02:12:17.942009  [Epoch 12] Validation mean loss: 3.448855
2018-12-05 02:12:17.943970  [Epoch 12] Validation heading rmse[deg]: 105.240501
2018-12-05 02:12:17.945807  [Epoch 12] Validation class accuracy: 0.438856
2018-12-05 02:12:17.947992  [Epoch 12] Validation avg class acc: 0.083196
2018-12-05 02:12:17.949980  [Epoch 12] Validation indivisual [0] class recall: 0.249588
2018-12-05 02:12:17.951831  [Epoch 12] Validation indivisual [0] class precision: 0.438856
2018-12-05 02:12:17.953673  [Epoch 12] Validation indivisual [1] class recall: 0.000000
2018-12-05 02:12:17.955401  [Epoch 12] Validation indivisual [2] class recall: 0.000000
2018-12-05 02:12:17.957181  

 Train one epoch  14 / 100
2018-12-05 02:23:28.743320  [Epoch 13] mean loss: 7.515102
2018-12-05 02:23:28.745360  [Epoch 13] heading rmse[deg]: 155.474440
2018-12-05 02:23:28.747115  [Epoch 13] class accuracy: 0.445059
2018-12-05 02:23:28.748974  [Epoch 13] avg class acc: 0.333955
2018-12-05 02:23:28.750694  [Epoch 13] indivisual [0] class recall: 0.447579
2018-12-05 02:23:28.752368  [Epoch 13] indivisual [0] class precision: 0.443249
2018-12-05 02:23:28.754091  [Epoch 13] indivisual [1] class recall: 0.552732
2018-12-05 02:23:28.755782  [Epoch 13] indivisual [1] class precision: 0.449367
2018-12-05 02:23:28.757525  [Epoch 13] indivisual [2] class recall: 0.001556
2018-12-05 02:23:28.759145  [Epoch 13] indivisual [2] class precision: 0.044164
2018-12-05 02:23:28.760693   Evaluation one (validation set) epoch  14 / 100
2018-12-05 02:24:15.423966  [Epoch 13] Validation mean loss: 3.734090
2018-12-05 02:24:15.425964  [Epoch 13] Validation heading rmse[deg]: 107.184287
2018-12-05 02:24:15.427879  [Epoch 13] Validation class accuracy: 0.457132
2018-12-05 02:24:15.429757  [Epoch 13] Validation avg class acc: 0.086482
2018-12-05 02:24:15.431594  [Epoch 13] Validation indivisual [0] class recall: 0.233615
2018-12-05 02:24:15.433557  [Epoch 13] Validation indivisual [0] class precision: 0.444520
2018-12-05 02:24:15.435350  [Epoch 13] Validation indivisual [1] class recall: 0.025831
2018-12-05 02:24:15.437170  [Epoch 13] Validation indivisual [1] class precision: 0.610459
2018-12-05 02:24:15.438937  [Epoch 13] Validation indivisual [2] class recall: 0.000000
2018-12-05 02:24:15.440701  

 Train one epoch  15 / 100
2018-12-05 02:35:26.631932  [Epoch 14] mean loss: 6.919292
2018-12-05 02:35:26.633906  [Epoch 14] heading rmse[deg]: 149.343222
2018-12-05 02:35:26.635610  [Epoch 14] class accuracy: 0.446000
2018-12-05 02:35:26.637466  [Epoch 14] avg class acc: 0.334536
2018-12-05 02:35:26.639163  [Epoch 14] indivisual [0] class recall: 0.459065
2018-12-05 02:35:26.640838  [Epoch 14] indivisual [0] class precision: 0.444075
2018-12-05 02:35:26.642488  [Epoch 14] indivisual [1] class recall: 0.543764
2018-12-05 02:35:26.644268  [Epoch 14] indivisual [1] class precision: 0.449652
2018-12-05 02:35:26.645972  [Epoch 14] indivisual [2] class recall: 0.000778
2018-12-05 02:35:26.647649  [Epoch 14] indivisual [2] class precision: 0.032407
2018-12-05 02:35:26.649275   Evaluation one (validation set) epoch  15 / 100
2018-12-05 02:36:13.307487  [Epoch 14] Validation mean loss: 3.919560
2018-12-05 02:36:13.309223  [Epoch 14] Validation heading rmse[deg]: 108.658949
2018-12-05 02:36:13.311007  [Epoch 14] Validation class accuracy: 0.453975
2018-12-05 02:36:13.312841  [Epoch 14] Validation avg class acc: 0.085915
2018-12-05 02:36:13.314536  [Epoch 14] Validation indivisual [0] class recall: 0.235801
2018-12-05 02:36:13.316413  [Epoch 14] Validation indivisual [0] class precision: 0.443315
2018-12-05 02:36:13.318321  [Epoch 14] Validation indivisual [1] class recall: 0.021942
2018-12-05 02:36:13.320131  [Epoch 14] Validation indivisual [1] class precision: 0.607675
2018-12-05 02:36:13.321890  [Epoch 14] Validation indivisual [2] class recall: 0.000000
2018-12-05 02:36:13.323649  

 Train one epoch  16 / 100
2018-12-05 02:47:24.073875  [Epoch 15] mean loss: 6.506301
2018-12-05 02:47:24.075521  [Epoch 15] heading rmse[deg]: 144.912671
2018-12-05 02:47:24.076986  [Epoch 15] class accuracy: 0.449319
2018-12-05 02:47:24.078630  [Epoch 15] avg class acc: 0.337521
2018-12-05 02:47:24.080198  [Epoch 15] indivisual [0] class recall: 0.466244
2018-12-05 02:47:24.081776  [Epoch 15] indivisual [0] class precision: 0.445883
2018-12-05 02:47:24.083242  [Epoch 15] indivisual [1] class recall: 0.543653
2018-12-05 02:47:24.084800  [Epoch 15] indivisual [1] class precision: 0.453597
2018-12-05 02:47:24.086275  [Epoch 15] indivisual [2] class recall: 0.002667
2018-12-05 02:47:24.087783  [Epoch 15] indivisual [2] class precision: 0.131148
2018-12-05 02:47:24.089223   Evaluation one (validation set) epoch  16 / 100
2018-12-05 02:48:10.833777  [Epoch 15] Validation mean loss: 4.491559
2018-12-05 02:48:10.835640  [Epoch 15] Validation heading rmse[deg]: 112.839141
2018-12-05 02:48:10.837605  [Epoch 15] Validation class accuracy: 0.435030
2018-12-05 02:48:10.839678  [Epoch 15] Validation avg class acc: 0.082358
2018-12-05 02:48:10.841627  [Epoch 15] Validation indivisual [0] class recall: 0.230282
2018-12-05 02:48:10.843605  [Epoch 15] Validation indivisual [0] class precision: 0.432706
2018-12-05 02:48:10.845477  [Epoch 15] Validation indivisual [1] class recall: 0.016793
2018-12-05 02:48:10.847286  [Epoch 15] Validation indivisual [1] class precision: 0.468822
2018-12-05 02:48:10.849044  [Epoch 15] Validation indivisual [2] class recall: 0.000000
2018-12-05 02:48:10.850746  

 Train one epoch  17 / 100
2018-12-05 02:59:22.355894  [Epoch 16] mean loss: 5.969880
2018-12-05 02:59:22.357948  [Epoch 16] heading rmse[deg]: 138.470424
2018-12-05 02:59:22.359936  [Epoch 16] class accuracy: 0.448341
2018-12-05 02:59:22.362073  [Epoch 16] avg class acc: 0.336547
2018-12-05 02:59:22.364043  [Epoch 16] indivisual [0] class recall: 0.454026
2018-12-05 02:59:22.365889  [Epoch 16] indivisual [0] class precision: 0.445436
2018-12-05 02:59:22.367680  [Epoch 16] indivisual [1] class recall: 0.553615
2018-12-05 02:59:22.369408  [Epoch 16] indivisual [1] class precision: 0.452012
2018-12-05 02:59:22.371084  [Epoch 16] indivisual [2] class recall: 0.002000
2018-12-05 02:59:22.372641  [Epoch 16] indivisual [2] class precision: 0.106509
